,Location,BHK,Sq.ft,Floor,Price
0,Bommanahalli,3,3000,3,28000
1,Bommanahalli,3,1650,0,18000
2,Whitefield,2,1000,3,16400
3,Whitefield,3,1600,9,27000
4,Whitefield,2,1200,1,20000
5,Whitefield,3,1760,8,39500
6,Whitefield,3,1870,3,35000
7,Whitefield,3,2200,10,42000
8,Whitefield,3,2100,7,28000
9,Whitefield,3,1704,13,35000
10,Whitefield,2,1326,3,21000
11,Whitefield,2,1000,3,16400
12,Whitefield,2,1088,1,14000
13,Bommanahalli,3,1744,2,22000
14,Whitefield,2,1060,1,16000
15,Bommanahalli,2,950,1,14000
16,Whitefield,3,3155,1,45000
17,Bommanahalli,3,3000,3,28000
18,Whitefield,2,1280,3,23000
19,Whitefield,3,3155,1,45000
20,Whitefield,3,1760,8,39500
21,Bommanahalli,2,1033,0,16500
22,Bommanahalli,2,1135,2,16000
23,Bommanahalli,3,1471,3,21000
24,Whitefield,2,1000,3,18000
25,Whitefield,3,2292,12,39000
26,Whitefield,2,1290,10,26000
27,Whitefield,2,1290,10,26000
28,Bommanahalli,2,1089,2,15500
29,Bommanahalli,3,1250,1,20000
30,Bommanahalli,2,1089,2,15500
31,Bommanahalli,2,1300,3,20000
32,Whitefield,3,2180,11,35000
33,Whitefield,2,1060,1,17000
34,Bommanahalli,2,1089,2,15500
35,Whitefield,2,1200,1,20000
36,Whitefield,2,1088,1,14000
37,Whitefield,3,2180,11,35000
38,Whitefield,2,1326,3,21000
39,Whitefield,3,2100,7,28000
40,Whitefield,2,1568,3,28000
41,Whitefield,3,1600,9,27000
42,Whitefield,2,1600,4,24000
43,Whitefield,2,1060,1,17000
44,Bommanahalli,2,1089,2,15500
45,Bommanahalli,2,1033,0,16500
46,Whitefield,3,1600,9,27000
47,Bommanahalli,2,1089,2,15500
48,Whitefield,2,1088,1,14000
49,Whitefield,3,1768,11,30000
50,Whitefield,2,1060,1,16000
51,Whitefield,2,1245,1,25000
52,Bommanahalli,3,1250,1,20000
53,Whitefield,3,1768,11,30000
54,Whitefield,3,2292,12,39000
55,Whitefield,2,1600,4,24000
56,Bommanahalli,3,1250,1,20000
57,Bommanahalli,3,1650,0,18000
58,Whitefield,2,1000,3,16400
59,Bommanahalli,2,1200,4,19000
60,Whitefield,3,1704,13,35000
61,Bommanahalli,3,1744,2,22000
62,Bommanahalli,2,1089,2,15500
63,Whitefield,2,1280,3,23000
64,Whitefield,3,2200,10,42000
65,Whitefield,3,2100,7,28000
66,Whitefield,3,2292,12,39000
67,Bommanahalli,2,950,1,14000
68,Bommanahalli,2,1089,2,15500
69,Bommanahalli,2,1251,3,19500
70,Whitefield,2,1290,10,26000
71,Whitefield,2,1088,1,14000
72,Bommanahalli,2,1200,4,19000
73,Bommanahalli,2,950,1,14000
74,Bommanahalli,2,1400,2,22000
75,Whitefield,3,2180,11,35000
76,Whitefield,2,1200,1,20000
77,Whitefield,3,1768,11,30000
78,Bommanahalli,3,1500,1,22000
79,Whitefield,2,1290,10,26000
80,Bommanahalli,3,1381,4,22000
81,Bommanahalli,2,960,3,11000
82,Bommanahalli,3,3000,3,28000
83,Whitefield,3,1675,4,26000
84,Bommanahalli,3,1250,1,20000
85,Whitefield,3,1600,9,27000
86,Bommanahalli,2,1300,3,20000
87,Bommanahalli,2,1251,3,19500
88,Whitefield,3,2117,0,33000
89,Whitefield,2,1290,10,26000
90,Whitefield,3,2200,10,42000
91,Bommanahalli,2,1089,2,15500
92,Whitefield,2,1290,10,26000
93,Bommanahalli,2,950,1,14000
94,Whitefield,2,1088,1,14000
95,Bommanahalli,2,1135,2,16000
96,Whitefield,3,2117,0,33000
97,Bommanahalli,2,950,1,14000
98,Bommanahalli,2,1300,3,20000
99,Whitefield,2,1600,4,24000
100,Whitefield,2,1290,10,26000
101,Whitefield,2,1326,3,21000
102,Bommanahalli,3,1250,1,20000
103,Whitefield,2,1060,1,17000
104,Whitefield,3,1768,11,30000
105,Whitefield,3,2100,7,28000
106,Whitefield,2,1060,1,17000
107,Whitefield,2,1060,1,16000
108,Whitefield,2,1245,1,25000
109,Whitefield,2,1060,1,16000
110,Whitefield,2,1333,3,26000
111,Whitefield,2,1000,3,16400
112,Bommanahalli,2,960,3,11000
113,Whitefield,2,1245,1,25000
114,Whitefield,3,1760,8,39500
115,Whitefield,2,1088,1,14000
116,Whitefield,2,1060,1,17000
117,Whitefield,3,1600,9,27000
118,Whitefield,3,1760,8,39500
119,Whitefield,2,1000,3,16400
120,Bommanahalli,3,1650,0,18000
121,Whitefield,3,3155,1,45000
122,Bommanahalli,2,1089,2,15500
123,Bommanahalli,3,1381,4,22000
124,Bommanahalli,3,1500,1,22000
125,Whitefield,2,1088,1,14000
126,Bommanahalli,3,1744,2,22000
127,Whitefield,3,2292,12,39000
128,Bommanahalli,3,1460,2,25000
129,Whitefield,2,1280,3,23000
130,Bommanahalli,2,1300,3,20000
131,Whitefield,2,1060,1,17000
132,Whitefield,3,2117,0,33000
133,Whitefield,2,1290,10,26000
134,Whitefield,2,1568,3,28000
135,Whitefield,2,1088,1,14000
136,Whitefield,2,1600,4,24000
137,Whitefield,3,2117,0,33000
138,Bommanahalli,2,1135,2,16000
139,Whitefield,3,3155,1,45000
140,Bommanahalli,2,1300,3,20000
141,Whitefield,2,1000,3,16400
142,Whitefield,2,1326,3,21000
143,Bommanahalli,2,1089,2,15500
144,Bommanahalli,2,1089,2,15500
145,Whitefield,2,1600,4,24000
146,Whitefield,2,1280,3,23000
147,Bommanahalli,2,767,3,16000
148,Whitefield,2,1333,3,26000
149,Bommanahalli,2,1050,2,18000
150,Bommanahalli,2,1135,2,16000
151,Bommanahalli,3,1500,1,22000
152,Bommanahalli,2,1251,3,19500
153,Whitefield,3,2117,0,33000
154,Bommanahalli,2,1300,3,20000
155,Bommanahalli,2,1089,2,15500
156,Whitefield,2,1280,3,23000
157,Whitefield,3,2180,11,35000
158,Whitefield,2,1060,1,16000
159,Whitefield,2,1333,3,26000
160,Whitefield,2,1088,1,14000
161,Bommanahalli,3,1500,1,22000
162,Bommanahalli,3,1460,2,25000
163,Whitefield,3,2200,10,42000
164,Whitefield,3,1870,3,35000
165,Whitefield,2,1568,3,28000
166,Bommanahalli,2,1033,0,16500
167,Whitefield,3,3155,1,45000
168,Bommanahalli,3,1460,2,25000
169,Whitefield,3,2180,11,35000
170,Bommanahalli,3,3000,3,28000
171,Whitefield,2,1060,1,17000
172,Bommanahalli,3,1250,1,20000
173,Bommanahalli,2,767,3,16000
174,Whitefield,3,3155,1,45000
175,Whitefield,3,2117,0,33000
176,Bommanahalli,2,1300,3,20000
177,Bommanahalli,2,950,1,14000
178,Whitefield,2,1245,1,25000
179,Bommanahalli,3,1500,1,22000
180,Bommanahalli,2,1300,3,20000
181,Whitefield,3,1675,4,26000
182,Bommanahalli,2,950,1,14000
183,Bommanahalli,3,1250,1,20000
184,Whitefield,2,1000,3,18000
185,Whitefield,2,1060,1,17000
186,Whitefield,3,3155,1,45000
187,Bommanahalli,3,1650,0,18000
188,Whitefield,2,1060,1,16000
189,Whitefield,2,1060,1,17000
190,Whitefield,3,2200,10,42000
191,Whitefield,2,1600,4,24000
192,Whitefield,2,1200,1,20000
193,Whitefield,2,1333,3,26000
194,Whitefield,2,1088,1,14000
195,Whitefield,3,1870,3,35000
196,Bommanahalli,3,1381,4,22000
197,Bommanahalli,3,3000,3,28000
198,Whitefield,2,1245,1,25000
199,Bommanahalli,2,1400,2,22000
200,Whitefield,2,1060,1,17000
201,Bommanahalli,2,960,3,11000
202,Bommanahalli,3,1250,1,20000
203,Bommanahalli,3,1250,1,20000
204,Bommanahalli,2,1089,2,15500
205,Whitefield,2,1060,1,17000
206,Bommanahalli,2,1400,2,22000
207,Whitefield,2,1000,3,18000
208,Bommanahalli,3,1744,2,22000
209,Whitefield,2,1290,10,26000
210,Whitefield,3,1704,13,35000
211,Bommanahalli,2,1135,2,16000
212,Bommanahalli,2,1033,0,16500
213,Bommanahalli,3,1744,2,22000
214,Whitefield,3,1768,11,30000
215,Whitefield,2,1333,3,26000
216,Whitefield,2,1000,3,18000
217,Bommanahalli,2,950,1,14000
218,Whitefield,3,2100,7,28000
219,Bommanahalli,3,1471,3,21000
220,Whitefield,3,1760,8,39500
221,Bommanahalli,3,1460,2,25000
222,Bommanahalli,3,1471,3,21000
223,Bommanahalli,2,767,3,16000
224,Whitefield,2,1333,3,26000
225,Whitefield,3,3155,1,45000
226,Whitefield,3,1675,4,26000
227,Bommanahalli,3,1460,2,25000
228,Bommanahalli,2,1300,3,20000
229,Bommanahalli,2,1135,2,16000
230,Whitefield,2,1280,3,23000
231,Bommanahalli,3,1375,3,19000
232,Bommanahalli,2,1135,2,16000
233,Bommanahalli,2,1089,2,15500
234,Whitefield,3,2117,0,33000
235,Whitefield,3,1600,9,27000
236,Bommanahalli,3,1744,2,22000
237,Bommanahalli,3,1460,2,25000
238,Bommanahalli,2,1300,3,20000
239,Whitefield,3,1600,9,27000
240,Whitefield,3,3155,1,45000
241,Whitefield,2,1060,1,17000
242,Whitefield,3,2200,10,42000
243,Bommanahalli,2,1089,2,15500
244,Whitefield,3,2100,7,28000
245,Bommanahalli,2,1050,2,18000
246,Whitefield,3,1675,4,26000
247,Whitefield,2,1600,4,24000
248,Bommanahalli,3,1250,1,20000
249,Bommanahalli,2,1033,0,16500
250,Whitefield,3,3155,1,45000
251,Bommanahalli,2,1050,2,18000
252,Whitefield,3,2200,10,42000
253,Bommanahalli,2,1089,2,15500
254,Bommanahalli,2,960,3,11000
255,Whitefield,2,1000,3,18000
256,Whitefield,3,1675,4,26000
257,Bommanahalli,2,1200,4,19000
258,Bommanahalli,3,1650,0,18000
259,Whitefield,3,2180,11,35000
260,Whitefield,2,1088,1,14000
261,Bommanahalli,3,1460,2,25000
262,Bommanahalli,2,1089,2,15500
263,Bommanahalli,2,950,1,14000
264,Bommanahalli,2,1251,3,19500
265,Bommanahalli,3,1381,4,22000
266,Bommanahalli,3,1381,4,22000
267,Bommanahalli,2,1300,3,20000
268,Whitefield,3,1675,4,26000
269,Whitefield,3,1768,11,30000
270,Whitefield,2,1600,4,24000
271,Whitefield,3,1675,4,26000
272,Bommanahalli,3,3000,3,28000
273,Bommanahalli,2,1089,2,15500
274,Bommanahalli,3,1250,1,20000
275,Bommanahalli,2,1089,2,15500
276,Bommanahalli,3,1500,1,22000
277,Whitefield,3,1870,3,35000
278,Whitefield,3,2200,10,42000
279,Bommanahalli,3,1250,1,20000
280,Whitefield,2,1290,10,26000
281,Bommanahalli,2,1300,3,20000
282,Bommanahalli,2,1033,0,16500
283,Whitefield,3,2117,0,33000
284,Whitefield,2,1333,3,26000
285,Whitefield,2,1600,4,24000
286,Bommanahalli,2,1251,3,19500
287,Bommanahalli,2,1089,2,15500
288,Whitefield,2,1568,3,28000
289,Whitefield,3,2292,12,39000
290,Whitefield,3,2100,7,28000
291,Whitefield,2,1000,3,18000
292,Whitefield,2,1568,3,28000
293,Bommanahalli,3,1500,1,22000
294,Bommanahalli,3,1460,2,25000
295,Whitefield,2,1568,3,28000
296,Bommanahalli,2,1135,2,16000
297,Whitefield,3,2180,11,35000
298,Bommanahalli,3,1250,1,20000
299,Bommanahalli,2,1089,2,15500
300,Whitefield,3,2117,0,33000
301,Whitefield,2,1060,1,17000
302,Whitefield,2,1060,1,16000
303,Bommanahalli,2,950,1,14000
304,Bommanahalli,3,1250,1,20000
305,Bommanahalli,3,1460,2,25000
306,Bommanahalli,3,1460,2,25000
307,Bommanahalli,2,1050,2,18000
308,Bommanahalli,2,1089,2,15500
309,Whitefield,3,2100,7,28000
310,Whitefield,3,2180,11,35000
311,Whitefield,3,1704,13,35000
312,Whitefield,3,1675,4,26000
313,Whitefield,2,1200,1,20000
314,Bommanahalli,3,1460,2,25000
315,Bommanahalli,2,1135,2,16000
316,Bommanahalli,2,1089,2,15500
317,Whitefield,3,2117,0,33000
318,Whitefield,3,2292,12,39000
319,Whitefield,2,1290,10,26000
320,Whitefield,2,1000,3,18000
321,Whitefield,2,1245,1,25000
322,Bommanahalli,2,950,1,14000
323,Whitefield,3,1768,11,30000
324,Whitefield,2,1600,4,24000
325,Whitefield,3,1704,13,35000
326,Bommanahalli,2,950,1,14000
327,Whitefield,3,2200,10,42000
328,Whitefield,2,1088,1,14000
329,Whitefield,2,1000,3,18000
330,Whitefield,2,1060,1,17000
331,Whitefield,3,2200,10,42000
332,Bommanahalli,2,950,1,14000
333,Whitefield,3,3155,1,45000
334,Whitefield,2,1245,1,25000
335,Bommanahalli,2,950,1,14000
336,Bommanahalli,3,1471,3,21000
337,Bommanahalli,2,1050,2,18000
338,Bommanahalli,3,3000,3,28000
339,Whitefield,3,2180,11,35000
340,Bommanahalli,2,960,3,11000
341,Whitefield,2,1000,3,16400
342,Whitefield,2,1000,3,16400
343,Bommanahalli,2,1200,4,19000
344,Whitefield,2,1000,3,16400
345,Whitefield,2,1088,1,14000
346,Whitefield,2,1290,10,26000
347,Bommanahalli,3,1500,1,22000
348,Bommanahalli,3,1650,0,18000
349,Whitefield,2,1000,3,16400
350,Bommanahalli,3,1250,1,20000
351,Bommanahalli,2,960,3,11000
352,Bommanahalli,3,1460,2,25000
353,Whitefield,3,1870,3,35000
354,Bommanahalli,2,1251,3,19500
355,Bommanahalli,2,767,3,16000
356,Bommanahalli,3,1650,0,18000
357,Bommanahalli,2,1200,4,19000
358,Whitefield,3,1870,3,35000
359,Whitefield,2,1200,1,20000
360,Bommanahalli,2,950,1,14000
361,Bommanahalli,2,960,3,11000
362,Bommanahalli,3,1650,0,18000
363,Whitefield,2,1326,3,21000
364,Whitefield,2,1280,3,23000
365,Bommanahalli,2,1089,2,15500
366,Bommanahalli,2,1300,3,20000
367,Bommanahalli,2,1200,4,19000
368,Whitefield,3,3155,1,45000
369,Bommanahalli,2,1089,2,15500
370,Bommanahalli,3,1500,1,22000
371,Whitefield,3,2100,7,28000
372,Whitefield,3,2180,11,35000
373,Bommanahalli,2,1251,3,19500
374,Whitefield,3,1768,11,30000
375,Whitefield,2,1060,1,16000
376,Whitefield,2,1000,3,16400
377,Bommanahalli,3,1500,1,22000
378,Bommanahalli,3,1250,1,20000
379,Whitefield,3,1675,4,26000
380,Bommanahalli,2,1089,2,15500
381,Bommanahalli,3,1460,2,25000
382,Whitefield,2,1060,1,16000
383,Whitefield,2,1060,1,17000
384,Bommanahalli,3,1381,4,22000
385,Whitefield,2,1290,10,26000
386,Whitefield,3,2180,11,35000
387,Whitefield,2,1333,3,26000
388,Bommanahalli,2,1135,2,16000
389,Bommanahalli,2,1033,0,16500
390,Bommanahalli,3,1375,3,19000
391,Whitefield,2,1200,1,20000
392,Bommanahalli,2,1089,2,15500
393,Whitefield,2,1600,4,24000
394,Bommanahalli,3,1744,2,22000
395,Bommanahalli,3,1471,3,21000
396,Whitefield,2,1000,3,16400
397,Whitefield,2,1280,3,23000
398,Bommanahalli,2,1033,0,16500
399,Whitefield,3,1760,8,39500
400,Bommanahalli,2,1089,2,15500
401,Bommanahalli,3,1381,4,22000
402,Bommanahalli,3,1460,2,25000
403,Whitefield,3,1704,13,35000
404,Bommanahalli,2,1089,2,15500
405,Bommanahalli,2,1033,0,16500
406,Whitefield,3,3155,1,45000
407,Bommanahalli,3,1460,2,25000
408,Bommanahalli,2,1089,2,15500
409,Whitefield,2,1568,3,28000
410,Whitefield,2,1333,3,26000
411,Whitefield,2,1245,1,25000
412,Bommanahalli,3,1471,3,21000
413,Bommanahalli,3,1381,4,22000
414,Bommanahalli,3,1744,2,22000
415,Bommanahalli,2,950,1,14000
416,Whitefield,3,1704,13,35000
417,Bommanahalli,2,960,3,11000
418,Whitefield,3,1600,9,27000
419,Bommanahalli,2,1135,2,16000
420,Whitefield,2,1333,3,26000
421,Bommanahalli,3,1460,2,25000
422,Whitefield,2,1060,1,17000
423,Bommanahalli,2,1089,2,15500
424,Bommanahalli,3,1381,4,22000
425,Bommanahalli,3,1381,4,22000
426,Bommanahalli,2,1400,2,22000
427,Whitefield,2,1280,3,23000
428,Bommanahalli,2,767,3,16000
429,Bommanahalli,3,1250,1,20000
430,Bommanahalli,2,950,1,14000
431,Bommanahalli,2,1400,2,22000
432,Bommanahalli,2,950,1,14000
433,Bommanahalli,3,1500,1,22000
434,Bommanahalli,3,1460,2,25000
435,Bommanahalli,3,3000,3,28000
436,Whitefield,2,1333,3,26000
437,Bommanahalli,2,1251,3,19500
438,Bommanahalli,2,1135,2,16000
439,Whitefield,2,1000,3,18000
440,Whitefield,3,1760,8,39500
441,Bommanahalli,2,1033,0,16500
442,Bommanahalli,2,1200,4,19000
443,Bommanahalli,2,1400,2,22000
444,Whitefield,2,1245,1,25000
445,Whitefield,3,1704,13,35000
446,Bommanahalli,2,1135,2,16000
447,Bommanahalli,3,3000,3,28000
448,Bommanahalli,2,1089,2,15500
449,Bommanahalli,3,1744,2,22000
450,Bommanahalli,2,1400,2,22000
451,Bommanahalli,2,1033,0,16500
452,Whitefield,3,1760,8,39500
453,Whitefield,3,2180,11,35000
454,Whitefield,2,1060,1,16000
455,Bommanahalli,2,1300,3,20000
456,Whitefield,2,1000,3,18000
457,Bommanahalli,3,1381,4,22000
458,Whitefield,2,1290,10,26000
459,Whitefield,3,1760,8,39500
460,Bommanahalli,3,1460,2,25000
461,Bommanahalli,2,1300,3,20000
462,Bommanahalli,2,950,1,14000
463,Bommanahalli,2,960,3,11000
464,Bommanahalli,3,1250,1,20000
465,Bommanahalli,3,1250,1,20000
466,Whitefield,3,2100,7,28000
467,Whitefield,3,2180,11,35000
468,Bommanahalli,2,767,3,16000
469,Whitefield,2,1060,1,16000
470,Bommanahalli,3,1381,4,22000
471,Whitefield,2,1280,3,23000
